LON,LAT,EDO,CLAVE,ESTACION,ene-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",11.2
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",4.3
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",7.4
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",3.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",11.6
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",9.5
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0.0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",4.0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",10.5
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",3.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",8.0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",7.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",3.8
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",2.0
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",7.0
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",5.8
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",9.2
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",13.0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",6.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",15.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",38.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",45.0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",56.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",44.3
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",45.4
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",65.6
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",47.0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",22.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",66.3
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",29.9
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",26.2
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",16.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",33.2
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",39.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0.4
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",22.1
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.2
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",3.2
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",43.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",61.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",19.9
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",3.5
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",1.2
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",3.8
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",7.2
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",6.0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",7.3
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",9.4
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",9.0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",31.7
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",5.5
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",6.4
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",7.0
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",12.0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",9.8
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10.0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",1.0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",17.0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",4.1
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",17.0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",17.0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",32.2
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",11.8
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",35.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",76.5
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",36.0
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",25.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",10.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",29.4
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",13.7
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",50.9
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",50.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",29.6
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",25.0
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",31.4
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",90.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",22.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",26.7
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",105.0
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",26.0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",26.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",75.0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",88.8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",23.0
-108.092778,29.216667,CHIH,C08219,"PeÒitas, Chih.",22.0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",24.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",14.0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",11.9
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",24.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",25.6
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",10.4
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",25.9
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",14.9
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",0.0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",6.0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",6.0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",41.9
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",3.8
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",11.4
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",6.1
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",0.0
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",13.6
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",14.9
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",10.8
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",50.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",24.2
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",78.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",21.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",4.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",11.2
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",9.0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",21.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",8.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",4.0
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",9.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",3.8
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",14.9
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",81.7
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",15.0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",16.0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",102.0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",4.0
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",16.5
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",12.5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",7.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0.0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.1
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0.3
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",87.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.7
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",2.8
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",64.0
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ, Chis. SGT*",124.8
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",3.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",2.6
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",8.2
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",13.0
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",12.1
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0.0
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,Cred RevoluciÛn Mexicana Chis. SMN*,0.0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",4.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",109.3
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",21.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",20.6
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",17.0
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",178.6
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",43.1
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",24.7
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata CFE, Chis.",368.9
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",3.6
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",17.2
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",40.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0.0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0.0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",361.9
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0.0
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",9.0
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",80.4
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",149.0
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",44.6
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",12.6
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",42.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",6.2
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",257.4
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",6.5
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",110.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",8.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.0
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0.1
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",182.8
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",142.0
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",456.0
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",5.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",11.1
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0.0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",59.8
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",64.7
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",255.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",4.4
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",90.2
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",12.0
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",90.6
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.0
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",0.2
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.5
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",0.0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac CFE, Chis.",377.0
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",180.4
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",6.0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",9.2
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0.0
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",7.0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0.0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",9.0
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",13.0
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",0.0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.0
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",1.0
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0.0
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0.0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0.0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",4.1
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",7.0
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",27.9
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",3.0
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",13.0
-100.634444,28.898611,COAH,RioSanRodrigoC,"RÌo San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",12.8
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",1.0
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",0.6
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",10.5
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",7.8
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",6.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",5.0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0.7
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.2
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",2.9
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0.5
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",9.8
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",9.5
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",7.0
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",0.0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0.0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",3.0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.9
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0.0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0.0
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0.0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",24.4
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0.0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0.0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",1.1
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",3.3
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0.0
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",0.1
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",0.0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",0.0
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0.0
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Jal. SMN*",1.0
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",0.0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",1.0
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",4.9
-99.099722,19.379167,DF,ACULCO,"Planta de Bombeo Aculco, Cd. de MÈx. SACMEX*",16.0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",5.6
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",13.3
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",5.6
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",7.3
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",2.9
-99.283333,19.436389,DF,BOSQUEREAL,"Bosque Real, MÈx. UNAM*",1.5
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",1.8
